date,sales
2021-06-22,260.06
2021-06-23,254.84
2021-06-24,257.05
2021-06-25,280.27
2021-06-26,283.01
2021-06-27,307.8
2021-06-28,270.52
2021-06-29,297.25
2021-06-30,254.32
2021-07-01,235.25
2021-07-02,247.0
2021-07-03,285.24
2021-07-04,277.83
2021-07-05,280.38
2021-07-06,258.73
2021-07-07,239.03
2021-07-08,230.59
2021-07-09,235.53
2021-07-10,266.5
2021-07-11,289.23
2021-07-12,268.1
2021-07-13,228.17
2021-07-14,237.96
2021-07-15,244.34
2021-07-16,240.27
2021-07-17,270.81
2021-07-18,272.59
2021-07-19,243.1
2021-07-20,247.61
2021-07-21,239.19
2021-07-22,250.25
2021-07-23,264.82
2021-07-24,243.36
2021-07-25,253.2
2021-07-26,263.57
2021-07-27,245.59
2021-07-28,234.19
2021-07-29,287.53
2021-07-30,253.36
2021-07-31,276.89
2021-08-01,277.47
2021-08-02,261.55
2021-08-03,229.15
2021-08-04,233.9
2021-08-05,214.26
2021-08-06,237.42
2021-08-07,248.82
2021-08-08,260.69
2021-08-09,282.87
2021-08-10,202.31
2021-08-11,229.32
2021-08-12,198.24
2021-08-13,230.55
2021-08-14,269.17
2021-08-15,257.24
2021-08-16,228.88
2021-08-17,216.56
2021-08-18,226.28
2021-08-19,208.62
2021-08-20,238.1
2021-08-21,250.83
2021-08-22,243.9
2021-08-23,274.7
2021-08-24,234.38
2021-08-25,183.39
2021-08-26,220.15
2021-08-27,222.8
2021-08-28,260.9
2021-08-29,239.85
2021-08-30,238.98
2021-08-31,230.72
2021-09-01,225.12
2021-09-02,197.82
2021-09-03,226.28
2021-09-04,239.67
2021-09-05,240.73
2021-09-06,266.08
2021-09-07,228.22
2021-09-08,192.34
2021-09-09,228.82
2021-09-10,262.47
2021-09-11,261.74
2021-09-12,227.31
2021-09-13,232.02
2021-09-14,240.95
2021-09-15,200.55
2021-09-16,221.74
2021-09-17,242.41
2021-09-18,232.61
2021-09-19,249.59
2021-09-20,191.17
2021-09-21,207.21
2021-09-22,208.12
2021-09-23,197.23
2021-09-24,256.27
2021-09-25,226.18
2021-09-26,245.12
2021-09-27,243.1
2021-09-28,245.67
2021-09-29,191.98
2021-09-30,235.12
2021-10-01,233.78
2021-10-02,234.88
2021-10-03,260.75
2021-10-04,246.35
2021-10-05,217.4
2021-10-06,217.03
2021-10-07,214.49
2021-10-08,238.05
2021-10-09,262.38
2021-10-10,280.57
2021-10-11,227.89
2021-10-12,261.61
2021-10-13,190.04
2021-10-14,221.45
2021-10-15,248.76
2021-10-16,260.36
2021-10-17,251.27
2021-10-18,247.28
2021-10-19,226.29
2021-10-20,214.67
2021-10-21,240.78
2021-10-22,249.72
2021-10-23,250.3
2021-10-24,278.77
2021-10-25,259.8
2021-10-26,250.78
2021-10-27,237.97
2021-10-28,220.74
2021-10-29,241.21
2021-10-30,277.27
2021-10-31,279.91
2021-11-01,260.46
2021-11-02,246.04
2021-11-03,253.5
2021-11-04,230.22
2021-11-05,263.84
2021-11-06,269.16
2021-11-07,273.72
2021-11-08,283.6
2021-11-09,263.11
2021-11-10,253.09
2021-11-11,265.32
2021-11-12,262.7
2021-11-13,289.27
2021-11-14,279.28
2021-11-15,279.02
2021-11-16,255.91
2021-11-17,249.57
2021-11-18,261.99
2021-11-19,257.52
2021-11-20,317.92
2021-11-21,276.43
2021-11-22,263.62
2021-11-23,282.99
2021-11-24,267.82
2021-11-25,270.34
2021-11-26,287.21
2021-11-27,294.43
2021-11-28,286.21
2021-11-29,291.19
2021-11-30,263.76
2021-12-01,278.95
2021-12-02,267.21
2021-12-03,273.91
2021-12-04,298.36
2021-12-05,314.5
2021-12-06,290.29
2021-12-07,270.34
2021-12-08,276.79
2021-12-09,281.96
2021-12-10,287.61
2021-12-11,305.09
2021-12-12,320.81
2021-12-13,286.1
2021-12-14,270.68
2021-12-15,271.52
2021-12-16,284.29
2021-12-17,309.13
2021-12-18,343.58
2021-12-19,339.52
2021-12-20,314.78
2021-12-21,300.9
2021-12-22,276.68
2021-12-23,296.66
2021-12-24,309.61
2021-12-25,335.78
2021-12-26,323.77
2021-12-27,334.51
2021-12-28,333.73
2021-12-29,299.66
2021-12-30,312.55
2021-12-31,333.89
2022-01-01,334.53
2022-01-02,349.15
2022-01-03,336.53
2022-01-04,321.83
2022-01-05,299.32
2022-01-06,316.51
2022-01-07,340.62
2022-01-08,371.93
2022-01-09,369.78
2022-01-10,378.23
2022-01-11,318.43
2022-01-12,333.56
2022-01-13,328.45
2022-01-14,375.53
2022-01-15,347.54
2022-01-16,352.28
2022-01-17,346.4
2022-01-18,307.52
2022-01-19,322.0
2022-01-20,323.68
2022-01-21,354.28
2022-01-22,374.1
2022-01-23,402.29
2022-01-24,378.88
2022-01-25,339.91
2022-01-26,325.55
2022-01-27,351.55
2022-01-28,341.27
2022-01-29,405.45
2022-01-30,400.79
2022-01-31,366.48
2022-02-01,331.71
2022-02-02,368.12
2022-02-03,351.18
2022-02-04,388.31
2022-02-05,362.66
2022-02-06,382.64
2022-02-07,382.07
2022-02-08,366.51
2022-02-09,349.4
2022-02-10,370.5
2022-02-11,361.92
2022-02-12,392.56
2022-02-13,401.47
2022-02-14,397.67
2022-02-15,384.36
2022-02-16,347.07
2022-02-17,345.86
2022-02-18,404.72
2022-02-19,407.22
2022-02-20,395.9
2022-02-21,420.58
2022-02-22,382.69
2022-02-23,388.81
2022-02-24,376.97
2022-02-25,423.46
2022-02-26,435.46
2022-02-27,410.19
2022-02-28,418.59
2022-03-01,397.24
2022-03-02,398.15
2022-03-03,367.88
2022-03-04,409.13
2022-03-05,431.19
2022-03-06,393.62
2022-03-07,392.24
2022-03-08,362.83
2022-03-09,379.33
2022-03-10,398.76
2022-03-11,426.91
2022-03-12,421.84
2022-03-13,449.73
2022-03-14,394.47
2022-03-15,372.94
2022-03-16,387.5
2022-03-17,398.6
2022-03-18,408.61
2022-03-19,394.33
2022-03-20,428.46
2022-03-21,399.98
2022-03-22,412.79
2022-03-23,397.96
2022-03-24,382.75
2022-03-25,405.28
2022-03-26,413.22
2022-03-27,432.5
2022-03-28,437.39
2022-03-29,391.36
2022-03-30,403.3
2022-03-31,392.04
2022-04-01,404.12
2022-04-02,430.41
2022-04-03,420.69
2022-04-04,417.42
2022-04-05,390.71
2022-04-06,427.62
2022-04-07,402.81
2022-04-08,407.68
2022-04-09,437.26
2022-04-10,436.45
2022-04-11,424.2
2022-04-12,419.55
2022-04-13,411.05
2022-04-14,395.74
2022-04-15,410.83
2022-04-16,431.09
2022-04-17,404.65
2022-04-18,405.71
2022-04-19,431.65
2022-04-20,425.05
2022-04-21,400.53
2022-04-22,428.56
2022-04-23,440.22
2022-04-24,485.57
2022-04-25,445.32
2022-04-26,409.2
2022-04-27,385.9
2022-04-28,379.91
2022-04-29,422.59
2022-04-30,423.71
2022-05-01,417.45
2022-05-02,418.12
2022-05-03,394.07
2022-05-04,424.6
2022-05-05,416.18
2022-05-06,418.26
2022-05-07,455.99
2022-05-08,438.58
2022-05-09,413.42
2022-05-10,431.56
2022-05-11,405.69
2022-05-12,385.61
2022-05-13,413.64
2022-05-14,418.68
2022-05-15,414.59
2022-05-16,438.05
2022-05-17,435.08
2022-05-18,374.26
2022-05-19,407.16
2022-05-20,404.19
2022-05-21,421.86
2022-05-22,423.72
2022-05-23,408.38
2022-05-24,404.27
2022-05-25,379.79
2022-05-26,399.7
2022-05-27,410.05
2022-05-28,422.36
2022-05-29,415.69
2022-05-30,409.31
2022-05-31,411.42
2022-06-01,396.25
2022-06-02,377.39
2022-06-03,408.63
2022-06-04,433.48
2022-06-05,400.47
2022-06-06,422.26
2022-06-07,386.23
2022-06-08,393.31
2022-06-09,376.57
2022-06-10,375.97
2022-06-11,393.66
2022-06-12,422.03
2022-06-13,413.76
2022-06-14,378.31
2022-06-15,390.0
2022-06-16,358.71
2022-06-17,397.63
2022-06-18,395.44
2022-06-19,407.03
2022-06-20,406.04
2022-06-21,374.4
2022-06-22,370.05
2022-06-23,394.1
2022-06-24,385.31
2022-06-25,421.46
2022-06-26,395.16
2022-06-27,408.55
2022-06-28,404.19
2022-06-29,333.98
2022-06-30,362.28
2022-07-01,397.83
2022-07-02,401.08
2022-07-03,412.87
2022-07-04,386.73
2022-07-05,379.04
2022-07-06,363.9
2022-07-07,386.93
2022-07-08,388.18
2022-07-09,404.38
2022-07-10,396.31
2022-07-11,383.68
2022-07-12,366.47
2022-07-13,367.38
2022-07-14,358.34
2022-07-15,383.97
2022-07-16,425.72
2022-07-17,410.86
2022-07-18,381.42
2022-07-19,386.33
2022-07-20,350.72
2022-07-21,329.49
2022-07-22,359.94
2022-07-23,362.0
2022-07-24,388.03
2022-07-25,382.14
2022-07-26,389.04
2022-07-27,357.37
2022-07-28,352.45
2022-07-29,383.22
2022-07-30,352.67
2022-07-31,392.65
2022-08-01,389.3
2022-08-02,337.64
2022-08-03,365.61
2022-08-04,356.85
2022-08-05,360.65
2022-08-06,391.48
2022-08-07,419.4
2022-08-08,376.75
2022-08-09,359.9
2022-08-10,337.98
2022-08-11,335.52
2022-08-12,375.9
2022-08-13,365.79
2022-08-14,383.13
2022-08-15,363.65
2022-08-16,360.23
2022-08-17,346.83
2022-08-18,360.86
2022-08-19,352.91
2022-08-20,371.79
2022-08-21,364.67
2022-08-22,361.53
2022-08-23,356.18
2022-08-24,350.74
2022-08-25,329.12
2022-08-26,371.36
2022-08-27,394.02
2022-08-28,383.49
2022-08-29,394.39
2022-08-30,337.05
2022-08-31,318.96
2022-09-01,314.62
2022-09-02,379.2
2022-09-03,382.05
2022-09-04,375.11
2022-09-05,369.2
2022-09-06,330.65
2022-09-07,373.29
2022-09-08,342.33
2022-09-09,357.6
2022-09-10,382.43
2022-09-11,382.59
2022-09-12,367.89
2022-09-13,335.32
2022-09-14,343.45
2022-09-15,368.5
2022-09-16,376.14
2022-09-17,395.56
2022-09-18,367.94
2022-09-19,350.05
2022-09-20,345.77
2022-09-21,337.81
2022-09-22,357.4
2022-09-23,331.41
2022-09-24,395.57
2022-09-25,374.32
2022-09-26,359.69
2022-09-27,333.8
2022-09-28,313.6
2022-09-29,354.91
2022-09-30,359.59
2022-10-01,355.09
2022-10-02,359.21
2022-10-03,363.13
2022-10-04,376.21
2022-10-05,336.84
2022-10-06,322.45
2022-10-07,357.37
2022-10-08,373.04
2022-10-09,340.99
2022-10-10,370.28
2022-10-11,350.77
2022-10-12,354.36
2022-10-13,376.04
2022-10-14,381.38
2022-10-15,376.65
2022-10-16,368.52
2022-10-17,413.5
2022-10-18,359.04
2022-10-19,348.17
2022-10-20,352.1
2022-10-21,371.74
2022-10-22,382.92
2022-10-23,381.04
2022-10-24,371.33
2022-10-25,362.42
2022-10-26,344.68
2022-10-27,346.76
2022-10-28,375.47
2022-10-29,386.48
2022-10-30,417.53
2022-10-31,345.21
2022-11-01,384.84
2022-11-02,377.19
2022-11-03,332.13
2022-11-04,374.62
2022-11-05,390.73
2022-11-06,379.97
2022-11-07,379.52
2022-11-08,358.12
2022-11-09,391.2
2022-11-10,383.79
2022-11-11,405.46
2022-11-12,413.85
2022-11-13,390.96
2022-11-14,390.24
2022-11-15,389.14
2022-11-16,353.7
2022-11-17,387.66
2022-11-18,390.07
2022-11-19,404.79
2022-11-20,426.04
2022-11-21,412.34
2022-11-22,384.03
2022-11-23,397.16
2022-11-24,368.56
2022-11-25,410.82
2022-11-26,427.28
2022-11-27,418.79
2022-11-28,418.7
2022-11-29,378.89
2022-11-30,401.91
2022-12-01,390.36
2022-12-02,402.16
2022-12-03,442.61
2022-12-04,421.42
2022-12-05,401.3
2022-12-06,382.99
2022-12-07,405.88
2022-12-08,382.72
2022-12-09,445.18
2022-12-10,404.56
2022-12-11,466.4
2022-12-12,434.6
2022-12-13,413.95
2022-12-14,397.72
2022-12-15,417.07
2022-12-16,427.49
2022-12-17,461.58
2022-12-18,451.94
2022-12-19,443.01
2022-12-20,419.29
2022-12-21,414.43
2022-12-22,425.12
2022-12-23,411.84
2022-12-24,434.27
2022-12-25,470.87
2022-12-26,452.83
2022-12-27,431.52
2022-12-28,425.11
2022-12-29,435.28
2022-12-30,438.98
2022-12-31,452.41
